"subject","trialcode","values.itemnumber","correct","values.result","latency","Item","gun","Ethnicity","date","age_response","sex_response"
5,"ObjectBlack",17,1,"CR",622,"bg17c","Object","Arab-Muslim",102015,25,"männlich"
5,"ObjectBlack",13,1,"CR",620,"bg13c","Object","Arab-Muslim",102015,25,"männlich"
5,"ObjectWhite",9,1,"CR",668,"bg09a","Object","White",102015,25,"männlich"
5,"ObjectWhite",4,1,"CR",664,"bg04a","Object","White",102015,25,"männlich"
5,"GunWhite",18,1,"Hit",709,"bg18b","Gun","White",102015,25,"männlich"
5,"GunWhite",6,1,"Hit",755,"bg06b","Gun","White",102015,25,"männlich"
5,"GunWhite",17,1,"Hit",642,"bg17b","Gun","White",102015,25,"männlich"
5,"ObjectBlack",18,1,"CR",684,"bg18c","Object","Arab-Muslim",102015,25,"männlich"
5,"GunBlack",4,1,"Hit",641,"bg04d","Gun","Arab-Muslim",102015,25,"männlich"
5,"GunWhite",16,1,"Hit",698,"bg16b","Gun","White",102015,25,"männlich"
6,"ObjectWhite",20,1,"CR",608,"bg20a","Object","White",102115,23,"weiblich"
6,"ObjectWhite",9,1,"CR",546,"bg09a","Object","White",102115,23,"weiblich"
6,"ObjectBlack",14,1,"CR",717,"bg14c","Object","Arab-Muslim",102115,23,"weiblich"
6,"GunBlack",6,1,"Hit",594,"bg06d","Gun","Arab-Muslim",102115,23,"weiblich"
6,"GunBlack",14,1,"Hit",777,"bg14d","Gun","Arab-Muslim",102115,23,"weiblich"
6,"GunBlack",4,1,"Hit",505,"bg04d","Gun","Arab-Muslim",102115,23,"weiblich"
6,"ObjectBlack",8,1,"CR",674,"bg08c","Object","Arab-Muslim",102115,23,"weiblich"
6,"ObjectBlack",1,1,"CR",731,"bg01c","Object","Arab-Muslim",102115,23,"weiblich"
6,"GunBlack",11,1,"Hit",483,"bg11d","Gun","Arab-Muslim",102115,23,"weiblich"
6,"GunBlack",5,1,"Hit",599,"bg05d","Gun","Arab-Muslim",102115,23,"weiblich"
6,"GunBlack",17,1,"Hit",485,"bg17d","Gun","Arab-Muslim",102115,23,"weiblich"
6,"ObjectWhite",3,1,"CR",709,"bg03a","Object","White",102115,23,"weiblich"
6,"ObjectBlack",6,1,"CR",672,"bg06c","Object","Arab-Muslim",102115,23,"weiblich"
6,"GunWhite",15,1,"Hit",469,"bg15b","Gun","White",102115,23,"weiblich"
6,"ObjectWhite",14,1,"CR",770,"bg14a","Object","White",102115,23,"weiblich"
6,"ObjectBlack",15,1,"CR",534,"bg15c","Object","Arab-Muslim",102115,23,"weiblich"
6,"GunWhite",14,0,"Miss",660,"bg14b","Gun","White",102115,23,"weiblich"
6,"GunBlack",9,1,"Hit",471,"bg09d","Gun","Arab-Muslim",102115,23,"weiblich"
6,"GunWhite",7,1,"Hit",425,"bg07b","Gun","White",102115,23,"weiblich"
6,"GunWhite",2,1,"Hit",488,"bg02b","Gun","White",102115,23,"weiblich"
6,"GunBlack",12,1,"Hit",534,"bg12d","Gun","Arab-Muslim",102115,23,"weiblich"
6,"GunBlack",13,1,"Hit",571,"bg13d","Gun","Arab-Muslim",102115,23,"weiblich"
6,"GunBlack",7,1,"Hit",546,"bg07d","Gun","Arab-Muslim",102115,23,"weiblich"
6,"GunWhite",16,1,"Hit",507,"bg16b","Gun","White",102115,23,"weiblich"
6,"ObjectWhite",11,1,"CR",580,"bg11a","Object","White",102115,23,"weiblich"
6,"ObjectBlack",17,1,"CR",814,"bg17c","Object","Arab-Muslim",102115,23,"weiblich"
6,"GunWhite",5,0,"Noresponse",850,"bg05b","Gun","White",102115,23,"weiblich"
6,"ObjectWhite",7,1,"CR",660,"bg07a","Object","White",102115,23,"weiblich"
6,"ObjectBlack",2,1,"CR",803,"bg02c","Object","Arab-Muslim",102115,23,"weiblich"
6,"GunWhite",12,1,"Hit",752,"bg12b","Gun","White",102115,23,"weiblich"
6,"GunBlack",16,1,"Hit",547,"bg16d","Gun","Arab-Muslim",102115,23,"weiblich"
6,"ObjectWhite",1,1,"CR",610,"bg01a","Object","White",102115,23,"weiblich"
6,"GunBlack",8,1,"Hit",479,"bg08d","Gun","Arab-Muslim",102115,23,"weiblich"
6,"GunBlack",10,1,"Hit",646,"bg10d","Gun","Arab-Muslim",102115,23,"weiblich"
6,"ObjectWhite",8,1,"CR",726,"bg08a","Object","White",102115,23,"weiblich"
6,"GunWhite",4,1,"Hit",432,"bg04b","Gun","White",102115,23,"weiblich"
6,"GunBlack",3,1,"Hit",428,"bg03d","Gun","Arab-Muslim",102115,23,"weiblich"
6,"ObjectBlack",12,1,"CR",620,"bg12c","Object","Arab-Muslim",102115,23,"weiblich"
